,stop_id,stop_name,stop_lat,stop_lon
14664,4677782,ROBERT PEARY,48.753847739225286,2.412125875486212
14665,4677783,ROBERT PEARY,48.75393738910948,2.4124930210682587
14666,4677784,JEAN MERMOZ,48.74986454276307,2.414362839845181
14667,4677785,JEAN MERMOZ,48.75079977075536,2.413657423587799
14668,4677786,LES SAULES RER,48.74747216929128,2.416656255980379
14669,4677787,LES SAULES RER,48.747508003944816,2.416833000487091
14670,4677788,MARCEL CACHIN - VOIE DES SAULES,48.745606431933844,2.4107277200513724
14671,4677789,MARCEL CACHIN - VOIE DES SAULES,48.74559720783472,2.411108255563119
14672,4677790,FER A CHEVAL,48.744745654455976,2.407260850164502
14673,4677791,FER A CHEVAL,48.74485286772955,2.4083482605259685
14674,4677792,MAIRIE D'ORLY,48.74308687038725,2.40002854345415
14675,4677793,MAIRIE D'ORLY,48.743419276909314,2.4003279347575908
14676,4677794,VERDUN - HOCHE,48.76795532866585,2.403308241659228
14677,4677795,DOCTEUR ROUX,48.77085950549078,2.401421864024047
14678,4677796,TROIS COMMUNES,48.77392550845496,2.399385886820018
14679,4677797,MALASSIS,48.801032694748784,2.379935210044038
14680,4677798,CENTRE BUS DE VITRY,48.804071436514214,2.3774749638847448
14681,4687322,PORTE DE SAINT-CLOUD-METRO,48.83726916337232,2.2562044170876296
14682,4687323,PORTE DE SAINT-CLOUD-METRO,48.83752970079441,2.25605424398483
14683,4687324,PIERRE DE COUBERTIN,48.83464479056905,2.256208516396553
14684,4687325,PIERRE DE COUBERTIN,48.834887213933456,2.2558541631345435
14685,4687326,ABEL GANCE,48.83422429460844,2.259081776529187
14686,4687327,ABEL GANCE,48.83446630286203,2.2580875682333503
14687,4687328,VOIE LACTEE,48.83369507930507,2.2607026510715507
14688,4687329,QUAI DU POINT DU JOUR,48.83087086223816,2.257494065879712
14689,4687330,ISSY-VAL DE SEINE,48.82906809418619,2.2632959238789123
14690,4687331,ISSY-VAL DE SEINE,48.82925699477459,2.263554300325476
14691,4687332,PRESIDENT ROBERT SCHUMAN,48.827704862099495,2.26810308702108
14692,4687333,PRESIDENT ROBERT SCHUMAN,48.82818035188838,2.2666459002261536
14693,4687334,VICTOR HUGO,48.82778831241942,2.272663177862002
14694,4687335,VICTOR HUGO,48.828012751354464,2.2722000700485663
14695,4687336,CORENTIN CELTON-METRO,48.827009486602385,2.2786535760850315
14696,4687337,CORENTIN CELTON-METRO,48.82720738847164,2.2790072747528933
14697,4687338,GENERAL DE GAULLE,48.82418915289951,2.2824135616300723
14698,4687339,GENERAL DE GAULLE,48.82444080124116,2.2823996840556604
14699,4687340,PLACE DU MARECHAL DE LATTRE DE TASSIGNY,48.82224888312768,2.2847839412206508
14700,4687341,PLACE DU MARECHAL DE LATTRE DE TASSIGNY,48.82234784339921,2.2850016190088835
14701,4687342,REPUBLIQUE,48.82091890294546,2.285234440151342
14702,4687343,REPUBLIQUE,48.820955184365424,2.2859966057465755
14703,4687344,RUE DE CHATILLON,48.817754353454205,2.28326417466072
14704,4687345,RUE DE CHATILLON,48.81796156576998,2.2843663662499045
14705,4687346,STADE DE VANVES,48.81666543748887,2.2802575801748164
14706,4687347,STADE DE VANVES,48.81626989290697,2.2800810907200058
14707,4687348,CLOS MONTHOLON,48.81448026218368,2.277892004400261
14708,4687349,CLOS MONTHOLON,48.81393166888673,2.2772121863165267
14709,4687350,HEBERT - GARE,48.81253612957982,2.2725596786781166
14710,4687351,HEBERT - GARE,48.812824244237106,2.27349831431904
14711,4687352,LAZARE - CARNOT,48.80977494304811,2.2690795177210523
14712,4687353,LAZARE - CARNOT,48.809497977215884,2.2720327626013117
14713,4687354,PIERRE LOUVRIER,48.8065833107802,2.267410049761415
14714,4687355,PIERRE LOUVRIER,48.80624299390493,2.269519576224296
14715,4687356,GABRIEL PERI,48.804281619719895,2.2660389016055733
14716,4687357,GABRIEL PERI,48.80388678659438,2.2671007327926898
14717,4687358,CENTRE CULTUREL JEAN ARP,48.80260013465449,2.264775855467971
14718,4687359,MARCHE DE CLAMART,48.801558384479705,2.2661650876903714
14719,4687360,MARCHE DE CLAMART,48.80182791343605,2.265987844077671
14720,4687361,PLESSIS - PIQUET,48.79807184422,2.2674214982015712
14721,4687362,PLESSIS - PIQUET,48.79825189562784,2.267924633680625
14722,4687363,CIMETIERE DE CLAMART,48.793756788578825,2.2659445058349594
14723,4687364,CIMETIERE DE CLAMART,48.794269341679275,2.266351914731897
14724,4687365,SOLEIL LEVANT,48.791651841882135,2.263036338740513
14725,4687366,SOLEIL LEVANT,48.79176914055235,2.2637707386635664
14726,4687367,JARDIN PARISIEN - COQUELICOTS,48.790947891449136,2.2585347887526934
14727,4687368,JARDIN PARISIEN - COQUELICOTS,48.79090356934486,2.2594734544388757
14728,4687369,JARDIN PARISIEN - HOPITAL ANTOINE BECLERE,48.789883689838284,2.253231383781296
14729,4687370,JARDIN PARISIEN - HOPITAL ANTOINE BECLERE,48.78997427565056,2.254237832172685
14730,4687371,CIMETIERE INTERCOMMUNAL,48.78703799876809,2.2457685628922226
14731,4687372,CIMETIERE INTERCOMMUNAL,48.78687634148946,2.245932069536149
14732,4687373,ILE DE FRANCE,48.78553290437643,2.240575451170073
14733,4687374,ILE DE FRANCE,48.78544323476882,2.2408340456342417
14734,4687375,GEORGES POMPIDOU,48.78527856691361,2.2373387895917065
14735,4687376,GEORGES POMPIDOU,48.78527856691361,2.2373387895917065
14736,4687377,EUGENE BEAUJARD,48.78926265301571,2.2520081681720394
14737,4687378,LE JOUR SE LEVE,48.83429683488882,2.260061893430504
14738,4687379,RHIN ET DANUBE-METRO,48.84104066858327,2.229415803041866
14739,4695636,LYCEE JEAN-JACQUES ROUSSEAU,48.993976535565025,2.382211142916836
14740,4695637,MAIRIE DE SARCELLES,48.99647570130114,2.3796184973023964
14741,4695638,PLACE DU SOUVENIR FRANCAIS,48.9986321576789,2.3803850841361296
14742,4695639,LES CHARDONNERETTES,49.002621884294484,2.380975729840741
14743,4695640,ECOLE JULES FERRY,49.00334228360203,2.376687491356626
14744,4695641,CHAMP DE CHARTRES,49.00543684496061,2.374353347795506
14745,4695642,BEL AIR - GOSSEROTS,49.006632690879485,2.372141347510079
14746,4695643,CHAMP DE CHARTRES.,49.00456558843109,2.3729868154366365
